PING 10.35.102.2 (10.35.102.2) 56(84) bytes of data.
64 bytes from 10.35.102.2: icmp_seq=1 ttl=62 time=0.556 ms
64 bytes from 10.35.102.2: icmp_seq=2 ttl=62 time=0.481 ms
64 bytes from 10.35.102.2: icmp_seq=3 ttl=62 time=0.501 ms
64 bytes from 10.35.102.2: icmp_seq=4 ttl=62 time=0.556 ms
64 bytes from 10.35.102.2: icmp_seq=9 ttl=62 time=0.550 ms
64 bytes from 10.35.102.2: icmp_seq=14 ttl=62 time=0.553 ms
64 bytes from 10.35.102.2: icmp_seq=15 ttl=62 time=0.476 ms
64 bytes from 10.35.102.2: icmp_seq=16 ttl=62 time=0.655 ms
64 bytes from 10.35.102.2: icmp_seq=17 ttl=62 time=0.557 ms
64 bytes from 10.35.102.2: icmp_seq=21 ttl=62 time=0.536 ms
64 bytes from 10.35.102.2: icmp_seq=22 ttl=62 time=0.474 ms
64 bytes from 10.35.102.2: icmp_seq=23 ttl=62 time=0.636 ms
64 bytes from 10.35.102.2: icmp_seq=24 ttl=62 time=0.600 ms
64 bytes from 10.35.102.2: icmp_seq=25 ttl=62 time=0.397 ms
64 bytes from 10.35.102.2: icmp_seq=26 ttl=62 time=0.501 ms
64 bytes from 10.35.102.2: icmp_seq=27 ttl=62 time=0.520 ms
64 bytes from 10.35.102.2: icmp_seq=28 ttl=62 time=0.563 ms
64 bytes from 10.35.102.2: icmp_seq=29 ttl=62 time=0.484 ms
64 bytes from 10.35.102.2: icmp_seq=30 ttl=62 time=0.618 ms
64 bytes from 10.35.102.2: icmp_seq=31 ttl=62 time=0.575 ms
64 bytes from 10.35.102.2: icmp_seq=32 ttl=62 time=0.589 ms
64 bytes from 10.35.102.2: icmp_seq=33 ttl=62 time=0.650 ms
64 bytes from 10.35.102.2: icmp_seq=34 ttl=62 time=0.549 ms
64 bytes from 10.35.102.2: icmp_seq=35 ttl=62 time=0.580 ms
64 bytes from 10.35.102.2: icmp_seq=36 ttl=62 time=0.629 ms
64 bytes from 10.35.102.2: icmp_seq=37 ttl=62 time=0.587 ms
64 bytes from 10.35.102.2: icmp_seq=38 ttl=62 time=0.668 ms
64 bytes from 10.35.102.2: icmp_seq=39 ttl=62 time=0.592 ms
64 bytes from 10.35.102.2: icmp_seq=40 ttl=62 time=0.614 ms
64 bytes from 10.35.102.2: icmp_seq=43 ttl=62 time=0.587 ms
